日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,竞价未匹配占比,竞昨成交比估算,个股热度昨日,个股热度前日,热度变化值,热度变化比,前热昨热比,个股热度排名昨日,实体涨跌幅昨日,实体涨跌幅前日
20250910,600050.SH,中国联通,通信,0.0278803421098565,0.03974700443469238,0.017816463732681895,6630376.5,8707483.5,-2077107.0,0.7614572568526831,1.3132713504278377,87,-2.546,5.124
20250911,688256.SH,寒武纪,电子,0.002275962625208,0.015066104306918647,0.007240039908974518,12216679.0,10592238.0,1624441.0,1.1533614520368594,0.8670308845800074,34,0.394,4.073
20250912,600376.SH,首开股份,房地产,0.0002790884274239,-0.040305241438139044,0.0585336657710739,25999008.0,17927744.0,8071264.0,1.4502108017606676,0.6895549245571215,7,5.252,6.849
20250915,300274.SZ,阳光电源,电力设备,0.0169732345991338,0.018464031771307995,0.009782844662449644,15015404.0,19959729.5,-4944325.5,0.7522849445429609,1.3292835477486986,27,-1.518,8.608
20250915,300450.SZ,先导智能,电力设备,0.0169732345991338,0.013086256007385574,0.00958617580565126,25766692.0,26613727.5,-847035.5,0.9681729851633898,1.0328732729835868,10,-5.939,4.392
20250915,002642.SZ,荣联科技,计算机,0.0009371578558119,0.003604563049132652,0.02374359071398241,12939418.5,8314194.0,4625224.5,1.556304615937516,0.6425477311828194,34,-6.192,0.703
20250916,000737.SZ,北方铜业,有色金属,0.0111510375093839,0.12373490181711783,0.01714880597443715,8780812.5,6452163.0,2328649.5,1.3609098995174176,0.7348025026157887,60,-0.57,7.07
20250916,300476.SZ,胜宏科技,电子,0.0013608641245617,0.020018699843034386,0.00808773664571498,9568415.5,18893967.5,-9325552.0,0.5064270116903715,1.9746182113433515,50,-2.211,6.115
20250917,300750.SZ,宁德时代,电力设备,0.000652257732842,-0.001287820015515904,0.00689543666866122,7820239.5,27639837.5,-19819598.0,0.2829336279563872,3.5343978275857153,76,-0.755,2.512
20251015,000021.SZ,深科技,电子,0.0005099737886142,0.15374519408820897,0.008928219111370895,16936659.5,24501753.5,-7565094.0,0.6912427512585987,1.446669781605989,18,-8.413,4.459
20251015,000063.SZ,中兴通讯,通信,0.0044891984207957,0.11333723962134286,0.0048489115377878455,15109304.0,21034571.0,-5925267.0,0.7183081604088811,1.3921601550938416,24,-7.226,5.153
20251015,002475.SZ,立讯精密,电子,0.0005099737886142,0.02380723816837861,0.0041925855471568385,12569294.5,15319334.5,-2750040.0,0.8204856744919304,1.2187903227185901,29,-6.446,4.771
20251020,300502.SZ,新易盛,通信,0.0338629508664847,0.008609866569305848,0.030988289785221976,5418050.0,5811046.5,-392996.5,0.9323707872583707,1.0725346757597292,98,-1.919,2.187
20251021,002185.SZ,华天科技,电子,0.0067902323269573,0.022379155028095996,0.010207150426914627,25307134.5,16100392.5,9206742.0,1.571833388533851,0.6361997443843356,4,-4.094,0.0
20251023,002208.SZ,合肥城建,房地产,0.0056593867688581,-0.0017423003725842334,0.018069870202640705,25066434.5,18677312.5,6389122.0,1.3420793007559304,0.7451124530694623,5,2.463,12.235
20251024,300475.SZ,香农芯创,电子,0.0143922028244678,0.10405771741436456,0.025793709875850324,5815732.0,7498348.5,-1682616.5,0.7756017208322606,1.2893215333856511,84,0.711,7.177
20251024,601608.SH,中信重工,机械设备,0.000518385402267,0.09028875008256905,0.01758778880537935,16848718.0,10677583.5,6171134.5,1.577952352234005,0.6337326970514908,11,-11.18,0.0
20251024,600172.SH,黄河旋风,机械设备,0.000518385402267,0.008860133824169501,0.02459508073074473,33197430.5,27067018.0,6130412.5,1.2264901327512325,0.8153347289935587,1,-4.686,3.763
20251027,300520.SZ,科大国创,计算机,0.0089199329389435,0.03913950458293216,0.028208249452178372,11976576.5,8099049.5,3877527.0,1.4787632178319197,0.6762407855032696,27,-5.534,11.952
20251027,000555.SZ,神州信息,计算机,0.0089199329389435,0.014928017718715393,0.03566886259292607,14395202.0,4722080.0,9673122.0,3.048487530918578,0.3280315205024563,20,-5.485,9.028
20251029,000063.SZ,中兴通讯,通信,0.0140959866803476,0.015484632368496861,0.06278135108376573,9834086.5,8716581.0,1117505.5,1.1282045678230948,0.8863640766226736,49,-2.004,1.624
20251029,601138.SH,工业富联,电子,0.004899089563946,0.008739115333495326,0.025739468721130115,22453347.5,29336814.5,-6883467.0,0.765364197943168,1.3065675173824305,6,3.948,5.053
20251031,002709.SZ,天赐材料,电力设备,9.043913975070872e-05,0.08534850640113797,0.00930074720099127,20673828.0,13562610.5,7111217.5,1.5243251290007922,0.6560280224833059,10,4.492,5.835
20251031,300274.SZ,阳光电源,电力设备,9.043913975070872e-05,0.0026829670532607756,0.009098371018010854,19279865.5,36234914.5,-16955049.0,0.532079784540405,1.8794173901265028,12,-0.113,12.648
20251103,300438.SZ,鹏辉能源,电力设备,0.0016547405215725,0.0009602600088639386,0.011383446205365947,6611797.5,10040359.0,-3428561.5,0.6585220209755448,1.5185521032669256,83,2.04,6.791
20251103,002709.SZ,天赐材料,电力设备,0.0016547405215725,-0.0007598218815173891,0.008304404223347737,21829708.5,20673828.0,1155880.5,1.055910327782547,0.9470501175038595,7,-4.549,4.492
20251106,603686.SH,福龙马,环保,0.0002896004005321,0.013004510128929064,0.01174342276989796,41469105.5,32612284.5,8856821.0,1.27157928786007,0.786423630478357,2,0.853,11.567
20251106,600745.SH,闻泰科技,电子,0.009585704191305,-0.0016440199696114606,0.03258604845157338,9484097.0,15983930.5,-6499833.5,0.5933519918645792,1.6853402595945612,47,-0.462,2.142
20251107,002320.SZ,海峡股份,交通运输,0.001813275956308,0.1432967884316321,0.024425756545212812,7640628.5,7824154.5,-183526.0,0.9765436635996899,1.0240197517782732,74,-12.438,8.757
20251110,603516.SH,淳中科技,计算机,0.0015072010717875,0.06765064963086982,0.023022073092190596,7494817.0,8670711.0,-1175894.0,0.864383209173965,1.1568942910814233,63,4.837,10.0
20251111,000572.SZ,海马汽车,汽车,0.0022766158661826,0.05758085198193008,0.026786259907672257,47428671.0,37990534.0,9438137.0,1.248433912510943,0.8010035533148293,2,-1.932,0.0
20251125,002474.SZ,榕基软件,计算机,0.0034294742115099,0.06879525619489898,0.033313626916317104,36749269.5,21788854.5,14960415.0,1.6866086053307667,0.5929057855150018,5,-4.154,13.285
20251128,002413.SZ,雷科防务,国防军工,0.0007501965514964,-0.01771815053323793,0.01550788633322289,20295860.5,20077705.5,218155.0,1.0108655344107922,0.9892512564323154,12,-8.3,0.0
20251201,000070.SZ,特发信息,通信,0.0084244488259543,0.12814025430085121,0.027729553461271438,24511055.5,35463959.0,-10952903.5,0.6911539543568725,1.446855644384633,6,-4.369,6.333
20251205,002565.SZ,顺灏股份,轻工制造,0.0002409058058296,0.08141378912254905,0.021912864710773323,23367336.5,14999675.5,8367661.0,1.5578561349543862,0.64190779723654,9,2.076,9.877
20251205,000078.SZ,海王生物,医药生物,0.0002616478292232,0.0715836500828529,0.031538574873019885,40380778.5,20656905.0,19723873.5,1.954831979911802,0.5115529161974923,4,-3.219,7.619
20251208,300502.SZ,新易盛,通信,0.0024221303746543,0.008004109116134391,0.005242331071721254,6408285.0,6236029.5,172255.5,1.0276226242996445,0.9731198752864456,77,-1.085,1.939
20251219,001208.SZ,华菱线缆,电力设备,0.0053463261011597,0.041330077024234455,0.02130951819366768,19014348.5,19291969.5,-277621.0,0.9856095045143006,1.0146006054322607,15,2.164,5.051
20251219,300308.SZ,中际旭创,通信,0.0125038018316379,0.02900127756906243,0.017867203625083754,7027312.0,10497296.5,-3469984.5,0.6694401744296734,1.4937854616388173,71,-1.004,5.921
20251219,002491.SZ,通鼎互联,通信,0.0125038018316379,0.005296944610095766,0.03875731348460524,10128649.0,4397640.0,5731009.0,2.303201035100645,0.43417833908549897,39,0.154,10.284
20251222,000592.SZ,平潭发展,农林牧渔,0.0011482332024594,0.00620616700474893,0.026679901285515763,92947911.5,64022831.5,28925080.0,1.4517932013050687,0.6888033358339634,1,-6.142,7.143
20251224,002792.SZ,通宇通讯,通信,0.0016793184915619,0.0036020720351748977,0.012333059155919814,19508267.5,23227346.5,-3719079.0,0.839883604440137,1.1906411730308701,21,-7.69,5.522
20251231,600151.SH,航天机电,电力设备,0.0012475981280135,0.05104239459585372,0.009669900654709527,20304659.5,20931314.5,-626655.0,0.97006136427791,1.0308626204738869,23,-6.839,11.524
20251231,600783.SH,鲁信创投,机械设备,0.0020671042424409,0.026205527453762464,0.03661874124947892,15346939.5,6918526.5,8428413.0,2.218238160972571,0.4508082214046651,40,-11.947,0.0
20251231,603123.SH,翠微股份,商贸零售,0.0036928726312028,0.004490018575944483,0.03250886732066083,27893725.0,18574513.5,9319211.5,1.5017203546138638,0.665902940535909,8,-3.59,11.088
20260105,600343.SH,航天动力,机械设备,0.0016180552649565,0.051992427666008735,0.023719960445336613,20152716.0,21641829.0,-1489113.0,0.931192830328712,1.0738914298201792,18,2.234,7.711
20260105,002009.SZ,天奇股份,机械设备,0.0016180552649565,-0.0008382840689579765,0.017655458744537875,20302874.5,18256755.0,2046119.5,1.1120746540116246,0.8992202064786442,16,-8.31,7.625
20260106,002347.SZ,泰尔股份,机械设备,0.0006918164075029,0.06293098518879678,0.018041450123604603,26725972.0,17492582.5,9233389.5,1.5278459884353839,0.6545162323750096,12,-0.379,3.512
20260106,002565.SZ,顺灏股份,轻工制造,0.0002118523226348,0.03348916790049375,0.011135710227454488,27300372.5,17874736.0,9425636.5,1.5273161237178552,0.6547433006637546,11,-8.617,5.043
20260107,002600.SZ,领益智造,电子,0.0109892495842121,0.021470752773066645,0.013346166374584526,7058450.5,5424924.0,1633526.5,1.3011150939626066,0.7685715158022288,93,-0.559,2.181
20260108,603667.SH,五洲新春,机械设备,4.52140887108321e-06,0.006037243268262006,0.009700856432485808,14608808.0,19700543.5,-5091735.5,0.741543399551388,1.348538737725898,36,0.84,4.069
20260108,002163.SZ,海南发展,建筑装饰,0.0014433969158809,0.0005546751188589541,0.017026516183211084,10715755.0,13217687.5,-2501932.5,0.8107132961041786,1.2334816818786918,52,-0.048,7.346
20260109,600266.SH,城建发展,房地产,0.0003315982599818,-0.0033639424991852847,0.028450486231101985,17099803.0,9413605.0,7686198.0,1.8164988864521083,0.5505095585019313,29,-3.709,0.0
20260112,600151.SH,航天机电,电力设备,0.0006625698081472,0.11215060545726767,0.01112212322387138,18328439.5,18666321.5,-337882.0,0.9818988438616575,1.018434848204071,27,-3.628,9.057
20260112,002324.SZ,普利特,基础化工,0.0032010800923303,0.0348124635833315,0.018832149161887343,17592377.0,9717012.0,7875365.0,1.81047188168544,0.5523421877555261,29,-8.8,0.0
20260112,300065.SZ,海兰信,国防军工,0.0213049563459444,0.00460432696913547,0.013895669376951233,8950404.0,8955941.0,-5537.0,0.9993817511750022,1.0006186312930678,77,-6.42,19.745
20260113,002757.SZ,南兴股份,机械设备,0.0015730405057932,0.014982278578636184,0.02152881970285687,18480890.0,16473317.5,2007572.5,1.1218681361541172,0.8913703560813359,26,4.287,8.696
20260114,002230.SZ,科大讯飞,计算机,0.0010625974117683,0.009061606317350672,0.004556558184176595,15660482.5,16309302.0,-648819.5,0.9602178253857829,1.0414303646136063,40,-0.213,3.652
20260116,603881.SH,数据港,通信,0.0075988693638944,0.011787256474590163,0.01612245716945972,12406345.0,7260696.5,5145648.5,1.70869902081708,0.5852405764953337,46,-4.55,7.298
20260119,603993.SH,洛阳钼业,有色金属,0.0010164978883213,0.006282856776509809,0.00708686185781001,10872180.5,10831441.5,40739.0,1.0037611798946613,0.9962529135714773,50,0.331,3.219
20260120,002716.SZ,湖南白银,有色金属,0.005002623494664,-0.05356442119032047,0.00939426957692361,9944011.0,10061404.5,-117393.5,0.9883322949594164,1.0118054475201204,54,-1.915,5.989
20260121,000657.SZ,中钨高新,有色金属,0.0027229529850147,0.009467220404872786,0.011673716956419744,8134827.0,6775924.5,1358902.5,1.2005486483800107,0.8329525016327944,72,-5.98,7.618
20260122,002498.SZ,汉缆股份,电力设备,0.0017694466202915,0.1418445999822805,0.02137583468715139,16104375.5,9468381.5,6635994.0,1.700858325153037,0.5879384456727303,32,-0.871,0.0
20260122,002201.SZ,九鼎新材,建筑材料,0.0058105963424879,0.014664999977368693,0.02239230644972459,12610061.0,14295738.0,-1685677.0,0.8820853459961283,1.1336771487465445,43,-10.638,1.826
20260122,300136.SZ,信维通信,电子,0.0154665468779386,0.007383304172022373,0.013466145864049777,19502182.5,18373397.0,1128785.5,1.0614358629490235,0.9421200422055326,20,-8.363,0.741
20260123,601899.SH,紫金矿业,有色金属,0.0161566465378173,0.004880983333575739,0.013595086967524905,10109335.5,13834891.5,-3725556.0,0.7307130308900507,1.3685262992805016,60,0.427,0.98
20260126,601212.SH,白银有色,有色金属,0.0263567990373043,0.14465739714067893,0.051056054016929635,25625601.0,27785621.5,-2160020.5,0.922261213412124,1.0842915059826304,12,0.0,14.303
20260128,000630.SZ,铜陵有色,有色金属,0.0096495477647315,0.0017113364722926476,0.008730178028461448,22829637.5,21097776.5,1731861.0,1.0820873706762417,0.9241397941601132,13,0.931,3.425
20260203,002455.SZ,百川股份,基础化工,0.013897254969452,0.06843168716943009,0.026601033692296005,12801956.0,8180500.0,4621456.0,1.5649356396308294,0.6390039147142828,35,-5.258,3.564
20260203,002165.SZ,红宝丽,基础化工,0.013897254969452,0.04993733644006776,0.020494867050466343,36370091.5,31697539.0,4672552.5,1.1474105765750457,0.8715276121865132,5,-2.506,13.713
20260203,002995.SZ,天地在线,传媒,0.0159900168148985,0.045327025688981795,0.03757860526099473,18599513.0,19977328.0,-1377815.0,0.9310310668173442,1.0740780148383455,15,0.4,4.576
20260209,600519.SH,贵州茅台,食品饮料,0.0003855981170055,0.03971694581637705,0.010507660150562183,6303134.5,11515447.5,-5212313.0,0.5473634003368084,1.826939834458554,98,-2.572,2.303
20260209,000592.SZ,平潭发展,农林牧渔,0.0022434964292441,0.012494832713258925,0.01394984733643183,28645065.0,24712570.5,3932494.5,1.159129318417119,0.8627165098071867,9,-3.167,9.537
20260209,601138.SH,工业富联,电子,0.0207499890735856,0.011977186311787073,0.01972115318299115,11763734.0,12285352.0,-521618.0,0.9575414688972689,1.0443411930259558,39,2.642,3.08
20260210,002361.SZ,神剑股份,基础化工,0.0005025053774203,-0.0008791447332718294,0.012406167524154554,24502563.0,32255475.5,-7752912.5,0.7596404213603982,1.316412307561458,10,-3.737,8.085
20260211,300058.SZ,蓝色光标,传媒,0.0009608907556366,0.007024561777124919,0.009862104673518647,28338864.5,30035444.5,-1696580.0,0.9435140705175846,1.0598676069042923,6,-2.047,1.117
20260212,603881.SH,数据港,通信,0.0065609389811374,-0.0008123292613782796,0.015864838423049584,13812816.0,20669924.5,-6857108.5,0.6682567224664996,1.4964308870834158,24,2.364,6.861
20260224,600111.SH,北方稀土,有色金属,0.0341663182719063,0.04222524912180085,0.011741385408681432,4880735.5,7697750.5,-2817015.0,0.6340469855446731,1.5771701826497257,95,-3.965,1.936
20260225,600410.SH,华胜天成,计算机,0.0015933167604249,0.022448220265409897,0.008862355070929091,33411200.0,23303390.5,10107809.5,1.4337484496086523,0.6974724194282157,3,-8.346,11.813
20260225,300017.SZ,网宿科技,计算机,0.0015933167604249,-0.008858128552441818,0.007655797168546595,13427348.0,15944769.5,-2517421.5,0.842116156022199,1.1874846395580125,25,-5.417,0.044
20260312,002969.SZ,嘉美包装,轻工制造,0.0020523005627275,-0.050682261208576995,0.019630038760279262,16048415.5,10043293.0,6005122.5,1.5979236591026469,0.6258121245676871,23,-6.556,5.755
20260325,002310.SZ,东方新能,建筑装饰,0.0057565679635638,0.006074465298378019,0.014134831695031578,34072380.5,33006687.0,1065693.5,1.0322871998634702,0.9687226579311063,4,-1.302,6.094
20260325,002594.SZ,比亚迪,汽车,0.0064917475031218,0.0019534672944598293,0.007622315830725967,14179701.0,32666350.5,-18486649.5,0.43407668083399764,2.3037404314801844,29,-1.624,3.62
20260401,002309.SZ,中利集团,电力设备,0.013991428022402,0.15865705513282605,0.018548994278941154,35439849.5,33568371.0,1871478.5,1.055751245718775,0.9471928203306845,3,2.917,11.737
20260401,002149.SZ,西部材料,有色金属,0.0249474835107976,0.009481784267417928,0.015617258970548211,22595825.0,26120105.5,-3524280.5,0.865074032721652,1.1559704281653802,9,-1.829,9.928
